Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
22,Florida,18.96,114.5,95.5,67.1,-0.059000000000000004,10.74,110.2,99.5,4.57,2018
23,Auburn,18.69,115.4,96.7,72.6,0.034,7.52,108.8,101.3,-1.86,2018
24,TCU,18.47,119.7,101.2,68.6,-0.067,9.67,110.7,101.0,-0.82,2018
25,Nevada,18.39,120.2,101.8,69.4,-0.026000000000000002,5.13,107.0,101.8,3.61,2018
26,Seton Hall,18.04,116.9,98.8,69.5,-0.027999999999999997,10.12,110.5,100.4,-0.0,2018
27,Florida St.,17.77,114.3,96.5,71.2,-0.028999999999999998,9.27,109.6,100.3,-6.91,2018
28,Arizona,17.7,118.0,100.4,67.1,0.036000000000000004,5.96,108.5,102.5,2.51,2018
29,Texas A&M,16.96,111.3,94.4,69.5,0.013999999999999999,11.69,111.8,100.1,5.12,2018
30,Creighton,16.91,115.5,98.6,70.8,-0.027999999999999997,9.4,110.8,101.4,-4.2,2018
31,Loyola Chicago ,16.39,111.4,95.0,65.5,0.077,2.48,104.8,102.3,-5.47,2018
32,Saint Mary's,16.13,119.4,103.2,63.5,0.006,-2.12,103.8,105.9,-4.28,2018
33,Virginia Tech,16.03,115.3,99.3,68.7,-0.018000000000000002,7.91,109.2,101.3,-9.76,2018
34,Baylor,16.02,111.5,95.5,66.7,-0.079,10.02,110.9,100.9,-3.78,2018
35,Notre Dame,15.79,114.9,99.1,65.4,-0.057999999999999996,8.65,109.8,101.2,-1.7,2018
36,Texas ,15.43,109.5,94.1,65.2,-0.03,11.77,111.4,99.6,2.05,2018
37,Miami FL,15.43,112.9,97.4,67.0,0.017,8.08,109.1,101.0,-3.82,2018
38,Louisville,15.41,112.2,96.8,69.7,-0.005,8.9,109.6,100.7,-2.5,2018
39,Maryland,15.03,114.1,99.1,66.3,-0.046,8.18,108.8,100.6,-4.21,2018
40,Missouri,14.83,111.9,97.0,65.7,-0.025,9.55,109.8,100.2,1.07,2018
41,Syracuse ,14.82,107.0,92.2,62.9,0.021,9.81,111.3,101.5,-0.2,2018
42,Kansas St.,14.77,110.1,95.3,65.6,0.071,9.39,111.0,101.6,-6.5,2018
43,Davidson ,14.7,117.0,102.3,64.5,-0.063,2.11,105.6,103.5,1.33,2018
