Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
265,Marist,-9.54,91.5,101.1,66.3,0.08199999999999999,-7.49,97.0,104.5,-13.45
266,Idaho St.,-9.64,93.1,102.7,64.4,0.0,-3.91,100.2,104.1,4.1
267,Jackson St.,-9.73,88.0,97.7,68.7,0.111,-12.84,93.4,106.2,12.78
268,Georgia Southern,-9.79,94.1,103.9,66.9,0.032,-3.33,100.3,103.7,-1.35
269,LIU,-9.82,93.5,103.4,74.0,-0.021,-8.88,98.3,107.1,-99.0
270,Southeast Missouri St.,-9.83,95.5,105.3,68.6,-0.003,-4.55,99.7,104.2,-0.77
271,Western Michigan,-9.93,94.9,104.8,66.2,-0.036000000000000004,4.67,106.5,101.8,5.45
272,Cal St. Northridge,-10.09,100.9,111.0,70.4,0.059000000000000004,-0.54,101.4,102.0,1.8
273,Bucknell,-10.32,97.3,107.7,72.1,-0.018000000000000002,-6.76,99.8,106.5,-99.0
274,Dartmouth,-10.43,94.9,105.3,66.8,0.0,-99.0,0.0,200.0,-99.0
275,Purdue Fort Wayne,-10.49,100.4,110.9,69.8,-0.025,-3.51,102.2,105.7,-19.61
276,Central Michigan,-10.52,100.3,110.8,72.3,-0.046,1.34,103.8,102.4,-6.08
277,Florida A&M,-10.65,90.2,100.8,68.6,-0.011000000000000001,-6.4,98.5,104.9,12.33
278,New Orleans,-10.78,97.2,108.0,72.6,-0.09300000000000001,-8.36,98.4,106.8,2.23
279,High Point,-10.84,96.2,107.0,66.4,-0.033,-4.67,99.7,104.4,0.21
280,North Dakota,-10.85,97.4,108.2,67.4,0.077,0.24,103.9,103.6,5.72
281,North Alabama,-10.85,94.4,105.2,70.8,0.051,-5.37,100.1,105.5,3.0
282,Merrimack,-10.86,90.9,101.7,66.8,0.013999999999999999,-8.75,98.6,107.3,-99.0
283,Eastern Michigan,-10.91,97.2,108.1,68.3,-0.039,5.64,107.0,101.4,18.37
284,Illinois Chicago,-10.92,93.3,104.2,68.4,0.05,-3.11,102.4,105.5,-0.88
